proteinID	Result_Value	Result_Type	Dose	DoseUnit	Repeat	Temperature	ProjectName	ExperimentName	SampleGroup	SampleName
Protein_4	22393000	Intensity	100	nM	1	37	Project_1	Experiment_1	0.1uM	0.1uM_100nM_1
Protein_4	32367000	Intensity	100	nM	1	37.6	Project_1	Experiment_1	0.1uM	0.1uM_100nM_1
Protein_4	41641000	Intensity	100	nM	1	39	Project_1	Experiment_1	0.1uM	0.1uM_100nM_1
Protein_4	45798000	Intensity	100	nM	1	41.5	Project_1	Experiment_1	0.1uM	0.1uM_100nM_1
Protein_4	24743000	Intensity	100	nM	1	44.9	Project_1	Experiment_1	0.1uM	0.1uM_100nM_1
Protein_4	62383000	Intensity	100	nM	1	49.1	Project_1	Experiment_1	0.1uM	0.1uM_100nM_1
Protein_4	33522000	Intensity	100	nM	1	54.1	Project_1	Experiment_1	0.1uM	0.1uM_100nM_1
Protein_4	11816000	Intensity	100	nM	1	58.5	Project_1	Experiment_1	0.1uM	0.1uM_100nM_1
Protein_4	496710	Intensity	100	nM	1	61.8	Project_1	Experiment_1	0.1uM	0.1uM_100nM_1
Protein_4	245300	Intensity	100	nM	1	64.7	Project_1	Experiment_1	0.1uM	0.1uM_100nM_1
Protein_4	549870	Intensity	100	nM	1	66.2	Project_1	Experiment_1	0.1uM	0.1uM_100nM_1
Protein_4	13842000	Intensity	0	nM	1	37	Project_1	Experiment_1	DMSO	DMSO_0nM_1
Protein_4	37139000	Intensity	0	nM	1	37.6	Project_1	Experiment_1	DMSO	DMSO_0nM_1
Protein_4	27987000	Intensity	0	nM	1	39	Project_1	Experiment_1	DMSO	DMSO_0nM_1
Protein_4	26128000	Intensity	0	nM	1	41.5	Project_1	Experiment_1	DMSO	DMSO_0nM_1
Protein_4	25476000	Intensity	0	nM	1	44.9	Project_1	Experiment_1	DMSO	DMSO_0nM_1
Protein_4	35308000	Intensity	0	nM	1	49.1	Project_1	Experiment_1	DMSO	DMSO_0nM_1
Protein_4	27022000	Intensity	0	nM	1	54.1	Project_1	Experiment_1	DMSO	DMSO_0nM_1
Protein_4	8036400	Intensity	0	nM	1	58.5	Project_1	Experiment_1	DMSO	DMSO_0nM_1
Protein_4	335360	Intensity	0	nM	1	66.2	Project_1	Experiment_1	DMSO	DMSO_0nM_1
Protein_5	68103000	Intensity	1000000	nM	1	37	Project_1	Experiment_1	1000uM	1000uM_1000000nM_1
Protein_5	97784000	Intensity	1000000	nM	1	37.6	Project_1	Experiment_1	1000uM	1000uM_1000000nM_1
Protein_5	92294000	Intensity	1000000	nM	1	39	Project_1	Experiment_1	1000uM	1000uM_1000000nM_1
Protein_5	105940000	Intensity	1000000	nM	1	41.5	Project_1	Experiment_1	1000uM	1000uM_1000000nM_1
Protein_5	111460000	Intensity	1000000	nM	1	44.9	Project_1	Experiment_1	1000uM	1000uM_1000000nM_1
Protein_5	127700000	Intensity	1000000	nM	1	49.1	Project_1	Experiment_1	1000uM	1000uM_1000000nM_1
Protein_5	58250000	Intensity	1000000	nM	1	54.1	Project_1	Experiment_1	1000uM	1000uM_1000000nM_1
Protein_5	2641300	Intensity	1000000	nM	1	58.5	Project_1	Experiment_1	1000uM	1000uM_1000000nM_1
Protein_5	527540	Intensity	1000000	nM	1	61.8	Project_1	Experiment_1	1000uM	1000uM_1000000nM_1
Protein_5	204760	Intensity	1000000	nM	1	66.2	Project_1	Experiment_1	1000uM	1000uM_1000000nM_1
Protein_5	209780	Intensity	1000000	nM	1	67	Project_1	Experiment_1	1000uM	1000uM_1000000nM_1
Protein_5	58017000	Intensity	100000	nM	1	37	Project_1	Experiment_1	100uM	100uM_100000nM_1
Protein_5	89694000	Intensity	100000	nM	1	37.6	Project_1	Experiment_1	100uM	100uM_100000nM_1
Protein_5	133300000	Intensity	100000	nM	1	39	Project_1	Experiment_1	100uM	100uM_100000nM_1
Protein_5	74114000	Intensity	100000	nM	1	41.5	Project_1	Experiment_1	100uM	100uM_100000nM_1
Protein_5	124090000	Intensity	100000	nM	1	44.9	Project_1	Experiment_1	100uM	100uM_100000nM_1
Protein_5	95612000	Intensity	100000	nM	1	49.1	Project_1	Experiment_1	100uM	100uM_100000nM_1
Protein_5	49802000	Intensity	100000	nM	1	54.1	Project_1	Experiment_1	100uM	100uM_100000nM_1
Protein_5	1212500	Intensity	100000	nM	1	58.5	Project_1	Experiment_1	100uM	100uM_100000nM_1
Protein_5	412160	Intensity	100000	nM	1	61.8	Project_1	Experiment_1	100uM	100uM_100000nM_1
Protein_5	287730	Intensity	100000	nM	1	64.7	Project_1	Experiment_1	100uM	100uM_100000nM_1
Protein_5	201620	Intensity	100000	nM	1	66.2	Project_1	Experiment_1	100uM	100uM_100000nM_1
Protein_5	183090	Intensity	100000	nM	1	67	Project_1	Experiment_1	100uM	100uM_100000nM_1
Protein_5	77058000	Intensity	1000	nM	1	37	Project_1	Experiment_1	1uM	1uM_1000nM_1
